HM096	-0.0140872527505579	0.007370413265661	CC96	F20026-F	France, Corsica	INRA-Montpellier	42.924	9.357	France, Corsica
HM097	-0.007864149461597	-0.0755292488886131	CC96	F83005-G	France	INRA-Montpellier	43.571	6.224	France
HM098	0.0120304655910495	0.0420067187055548	CC96	PRT176-12	Portugal	INRA-Montpellier	37.153	-7.726	Portugal
HM099	-0.03476984310645	0.0294185559463066	CC96	SA02840	Cyprus	INRA-Montpellier	35	33	Cyprus
HM101	0.0976512431866533	0.13886652943709	N/A	A17_Varma	N/A	Doug Cook, UC Davis	N/A	N/A	N/A
HM105	-0.0513689128719582	-0.021095182549816	CC96	SA09137	Algeria	INRA-Montpellier	34.833	-0.167	Algeria
HM106	-0.0624279465918877	-0.0204006779107707	CC96	SA09434	Tunisia	INRA-Montpellier	35.833	9.2	Tunisia
HM107	-0.0435555184599661	-0.0536396215798468	CC96	SA09670	Algeria	INRA-Montpellier	34.833	-1.35	Algeria
HM108	-0.0636933165784165	-0.0155231191254248	CC96	SA09715	Tunisia	INRA-Montpellier	35.75	8.517	Tunisia
HM109	-0.0612709850265383	0.0225785795646887	CC96	SA11959	Israel	INRA-Montpellier	33	35	Israel
HM111	-0.0526813934864386	0.0200825270590505	CC96	SA27192	Italy	INRA-Montpellier	41.3	17.783	Italy
HM112	-0.0513722519041017	0.0108741619629088	CC96	SA28097	Cyprus	INRA-Montpellier	34	33	Cyprus
HM114	-0.0475310716563086	-0.00544197197010592	CC144	CRE009-A	Greece, Crete	INRA-Montpellier	35.035	25.935	Greece, Crete
HM115	-0.0363969838912498	0.0135057172060078	CC144	Cyprus_C	Cyprus	INRA-Montpellier	35.1	33.4	Cyprus
HM117	0.0725825685858106	0.0712919701428342	CC144	ESP031-A	Spain	INRA-Montpellier	37.5	-1.991	Spain
HM118	0.0815915907931675	0.0718906410997007	CC144	ESP043-B	Spain	INRA-Montpellier	36.42	-5.125	Spain
HM119	0.100791330631645	0.0227146246665525	CC144	ESP050-B	Spain	INRA-Montpellier	37.06	-5.808	Spain
HM120	0.0725871258854551	0.0809365406778882	CC144	ESP095-C	Spain	INRA-Montpellier	36.986	-2.914	Spain
HM121	0.0954209778417166	0.0332064779824126	CC144	ESP104-A	Spain	INRA-Montpellier	37.946	-4.525	Spain
HM122	0.098825093454529	0.024912286298673	CC144	Esp159-11	Spain	INRA-Montpellier	37.424	-4.755	Spain
HM124	0.0782006382121166	0.0547998288119803	CC144	Esp165-D	Spain	INRA-Montpellier	36.685	-4.793	Spain
HM125	0.10680158040894	0.0981692314350922	CC144	ESP175-A	Spain	INRA-Montpellier	37.284	-7.122	Spain
HM126	-0.0232292679893236	-0.00514513349277151	CC144	F20015-L	France, Corsica	INRA-Montpellier	42.084	9.369	France, Corsica
HM127	-0.0192926379554586	0.00826777096651887	CC144	F20025-F	France, Corsica	INRA-Montpellier	42.756	9.451	France, Corsica
HM128	-0.00730260996526713	0.0011869934282413	CC144	F20058-6	France, Corsica	INRA-Montpellier	41.405	9.127	France, Corsica
HM129	-0.00606120814195909	-0.0202229098414675	CC144	F20069-A	France, Corsica	INRA-Montpellier	42.592	8.908	France, Corsica
HM130	-0.000353894144429136	-0.0158371647261871	CC144	F20069-C	France, Corsica	INRA-Montpellier	42.592	8.908	France, Corsica
HM131	-0.0158139106379608	0.0100599509842368	CC144	F34042-D	France	INRA-Montpellier	43.676	3.767	France
HM133	-0.0533375935397998	-0.00323401476259201	CC144	GRC098-A	Greece	INRA-Montpellier	38.203	22.138	Greece
HM134	-0.0373127892080734	-0.0250960622256171	CC144	SA02084	Greece	INRA-Montpellier	37.55	25.133	Greece
HM135	-0.0572082906644779	0.00781522743513639	CC144	SA02748	Israel	INRA-Montpellier	32.8	35.533	Israel
HM138	-0.0419821294606882	0.0265394841236649	CC144	SA08454	Libya	INRA-Montpellier	32.5	20.833	Libya
HM139	0.102122577300028	0.0152195463228398	CC144	SA08623	Morocco	INRA-Montpellier	33.067	-7	Morocco
HM141	-0.0623639918763049	0.0144007940403786	CC144	SA09456	Tunisia	INRA-Montpellier	34.75	10.717	Tunisia
HM143	-0.0453068495722347	0.00117742821997278	CC144	SA10481	Tunisia	INRA-Montpellier	36.833	10.217	Tunisia
HM145	-0.0399091454463084	0.0133097712447901	CC144	SA19964	Turkey	INRA-Montpellier	37.883	28.5	Turkey
HM146	-0.0591654095467605	-0.000707974998472647	CC144	SA21302	Libya	INRA-Montpellier	32.667	14.25	Libya
HM147	-0.0650203128220989	0.0144979062897869	CC144	SA21362	Libya	INRA-Montpellier	31.417	15.25	Libya
HM148	-0.0513731633267002	0.0133460691502632	CC144	SA21590	Libya	INRA-Montpellier	31.25	16.033	Libya
HM149	-0.051322806154137	0.0100791653029543	CC144	SA21819	Cyprus	INRA-Montpellier	34.7	33.05	Cyprus
HM150	-0.063294033171526	0.0105659736403918	CC144	SA22323	Syria	INRA-Montpellier	35.017	37.083	Syria
HM151	-0.0572398485489954	0.0106353293241156	CC144	SA25226	Italy	INRA-Montpellier	37.133	14.917	Italy
HM152	0.121525761328349	0.00490874967103236	CC144	SA25654	Morocco	INRA-Montpellier	33.883	-5.617	Morocco
HM153	-0.0423162347996374	0.00354076958873056	CC144	SA25898	Italy	INRA-Montpellier	39.133	9.533	Italy
HM154	0.118004745405063	0.0101578792073714	CC144	SA27778	Morocco	INRA-Montpellier	32.55	-7.683	Morocco
HM155	0.140307275270779	0.00206381293479683	CC144	SA27961	Morocco	INRA-Montpellier	31.833	-6.933	Morocco
HM156	-0.0583817269781919	0.00124434166306302	CC144	SA28089	Cyprus	INRA-Montpellier	34.9	33.617	Cyprus
HM157	-0.0616700871212534	0.0158580114203673	CC144	SA28099	Cyprus	INRA-Montpellier	34	33	Cyprus
HM159	-0.0303741504784962	0.00049697145720027	CC192	arboretu	France	INRA-Montpellier	43.147	2.985	France
HM160	-0.0616431237491726	-0.00128244650873486	CC192	CRE005-A	Greece, Crete	INRA-Montpellier	35.115	24.689	Greece, Crete
HM161	0.00963039664386394	-0.279050852925573	CC192	DZA033-2	Algeria	INRA-Montpellier	36.509	5.394	Algeria
HM162	-0.0723025076899592	-0.0056786235824451	CC192	DZA055-H	Algeria	INRA-Montpellier	36.005	8.112	Algeria
