PlantGenotype,nod.R,CI.nod.R,nod.RN,CI.nod.RN,Galls,CI.galls,CI.R.minus.RN,deltaNod
HM139,0.0696981500407457,0.254613028503378,0.075593922683729,0.293544468481512,-0.188042992654616,0.511637733904987,0.389037824947406,-0.00589577264298331
HM145,0.318201832534761,0.237844889918882,-0.165655882915564,0.269263450943903,0.385972394610591,0.389229946353796,0.368152405341773,0.483857715450325
HM147,-0.43908838799367,0.288550179699557,-0.426980877365416,0.315685409589365,-0.0814253791848709,0.403480326718816,0.421903564307274,-0.0121075106282548
HM148,0.321404303616597,0.252782722089783,0.0816881764419344,0.303536855420449,0.451036683052055,0.450858897600304,0.401746895143334,0.239716127174663
HM149,0.0162750118609372,0.317513328163688,0.0516383333710529,0.310294991514416,-0.753620725305773,0.534301622972602,0.436190867732534,-0.0353633215101157
HM151,0.132778756896419,0.25528818475969,-0.00736072014316154,0.301391415390618,-0.259984394395714,0.462094437346894,0.392295052965057,0.14013947703958
HM152,0.121064171502104,0.249549356581039,0.0698143699503075,0.26625983490214,0.0744811939089727,0.406819437985159,0.370609687269667,0.0512498015517963
HM153,-0.0386745478294744,0.233899445546059,0.0827855252327024,0.28495198116204,0.25746695955326,0.480744381637646,0.364172215970917,-0.121460073062177
HM156,0.0157496989574292,0.257846394012122,0.168824785408605,0.27557640823168,-0.18296787978395,0.438291218975803,0.375614055530047,-0.153075086451175
HM162,0.0557633641065019,0.232048040499454,-0.132021184692797,0.28463552875764,0.237032364118067,0.435381547216155,0.373598942608588,0.187784548799299
HM167,0.219920955300581,0.243931845542194,-0.337441594487787,0.295352001706645,0.191401062932916,0.418896328602008,0.391950035825126,0.557362549788368
HM168,-0.424206316495724,0.293023089897623,-0.349263406897058,0.34896118445204,-0.576505993317155,0.517115278633239,0.474683221877386,-0.0749429095986655
HM170,0.673622299575237,0.24658499864317,0.839786525962307,0.289623676826997,-1.22079939731211,0.541374228725721,0.380110695470587,-0.16616422638707
HM176,0.0208144473406365,0.241262868466461,0.0719899118172915,0.266340288903259,0.0535502658494241,0.432708505388768,0.363484574393008,-0.051175464476655
HM180,-0.173221391701327,0.273164001577199,-0.193691639427829,0.275109775025192,0.251595925897591,0.418607114240357,0.373172033824843,0.0204702477265013
HM184,0.218634584563507,0.235787773200431,-0.152167523340263,0.276354130242494,0.539035115910828,0.400877397463951,0.354446329509744,0.37080210790377
HM185,-0.296457323004307,0.276233852680117,-0.154655029701381,0.315728318389962,-0.792388327586544,0.533398923601386,0.418216864074317,-0.141802293302926
HM186,0.0430207585833955,0.232295949437318,0.0387629566614184,0.255039183546126,0.0106908258700224,0.397599634698565,0.354264985938475,0.00425780192197715
HM189,0.332330381425217,0.268870429759715,0.322992712654233,0.270078718155239,0.214496180093259,0.433479743686506,0.370545154978688,0.00933766877098358
HM190,0.219000581258574,0.284246058565569,-0.165382229850534,0.262741313253218,-0.224963879855576,0.420666671058179,0.384834412266224,0.384382811109108
HM195,-0.206465194452528,0.279910289482065,-0.180832681902096,0.301268052588903,-0.0798111802894432,0.431823334160683,0.402872492155457,-0.0256325125504316
HM206,0.214627458982957,0.237238304219852,0.0453388398140755,0.273999509809755,0.0966462463317847,0.404111339871511,0.364382479582967,0.169288619168881
