File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
id633.png,Full,2075,2507,2849.469243,0.879813,867.462871,0.384289,0.34909,2.137309,4601.356311,422.193809,3464.276676,2.223,2848.937067,0.532175,0,1101.527272,1.10768,0,3460.796797,3.479879,0,420.382333,1.811476,0
id635.png,Full,2989,3989,4512.415412,0.884005,1391.16254,0.402557,0.35921,1.844296,7031.304099,732.220093,5728.110128,2.304,4512.415412,0,0,1823.229836,0,0,5728.110128,0,0,732.220093,0,0
id643.png,Full,2044,3028,3201.026598,0.945947,1036.954019,0.437125,0.383345,2.074765,4690.889815,602.284843,4408.640698,1.404,3200.317827,0.708772,0,1401.780462,1.459022,0,4404.057044,4.583654,0,599.92567,2.359173,0
id644.png,Full,1284,1620,2036.099373,0.795639,664.397865,0.409221,0.378641,1.566905,3287.925528,331.916177,2632.311532,1.182,2036.099373,0,0,837.774955,0,0,2632.311532,0,0,331.916177,0,0
id645.png,Full,2300,3169,3574.625217,0.886527,1077.026072,0.398736,0.341302,2.404444,5513.175836,588.398303,4491.684789,1.899,3572.876893,1.748324,0,1425.863831,3.835171,0,4479.636243,12.048546,0,581.770041,6.628261,0
id646.png,Full,2479,3173,3908.783278,0.811762,1337.042577,0.439961,0.390294,2.182118,6158.854726,747.357474,5429.749512,3.243,3906.54148,2.241797,0,1723.622334,4.657745,0,5415.116775,14.632737,0,739.752999,7.604476,0
id648.png,Full,2553,5217,5027.840084,1.037623,1534.89702,0.408134,0.341302,2.613719,7632.955014,881.328354,6469.908423,4.132,5022.552779,5.287305,0,2047.201238,11.85435,0,6432.666885,37.241539,0,860.318586,21.009768,0
id649.png,Full,1370,1632,2156.508525,0.756779,636.770232,0.372406,0.322401,1.832109,3573.261506,310.823472,2532.273217,2.263,2156.508525,0,0,805.984344,0,0,2532.273217,0,0,310.823472,0,0
id656.png,Full,3141,5587,5186.114088,1.0773,1592.125848,0.388685,0.34909,1.859778,8299.894314,770.11215,6377.556854,4.65,5186.114088,0,0,2029.518098,0,0,6377.556854,0,0,770.11215,0,0
id658.png,Full,2120,3870,3431.029281,1.127941,1083.274715,0.408585,0.361696,2.11709,5362.41438,589.351145,4430.592707,2.728,3430.556974,0.472307,0,1408.847837,0.971264,0,4427.541392,3.051315,0,587.782,1.569145,0
id659.png,Full,1581,3008,3744.027021,0.803413,1093.584282,0.361826,0.30527,1.855437,6337.650666,502.571142,4263.70047,3.385,3744.027021,0,0,1356.757013,0,0,4263.70047,0,0,502.571142,0,0
